name,id_spotify,id_genius,url_genius,genres
Zed Yun Pavarotti,2TM7WyJwjfD5wKyX9OtIWJ,1276822,https://genius.com/artists/Zed-yun-pavarotti,
Scred Connexion,5ZtIEcmzQosu8SDKWgwc86,2156,https://genius.com/artists/Scred-connexion,
Zikxo,7rjPaOQdQeTIQhmApviFqe,1207099,https://genius.com/artists/Zikxo,
PRIME,1FhFAnXsMLYJhRVBKvcdHU,2,https://genius.com/artists/Jay-z,
Sifax,5dacK0fiMwLoV93yBdUrZK,1552972,https://genius.com/artists/Sifax,pop urbaine
Lord Esperanza,7CPznx8a1emLVLeCHGuJeN,790419,https://genius.com/artists/Lord-esperanza,
Tandem,5r4KrJXWxLsbym4vjcRv1i,2200,https://genius.com/artists/Tandem,
Youv Dee,5P3mgWx3KvnURMhlVm5pMS,933047,https://genius.com/artists/Youv-dee,
La Famax,3Ii7kCftek6SPKPEZx3GYE,1059759,https://genius.com/artists/La-famax,pop urbaine
Cheu-B,2bbQRkTmEgKA1INGHeH7oT,651153,https://genius.com/artists/Cheu-b,
404Billy,5xMkiuMCSS13z5shShg7Mz,1080043,https://genius.com/artists/404billy,
Kodes,3fnfvu19t4JYyEkRldXsO5,25180,https://genius.com/artists/Massaka,
Haristone,4A1BIRTQQ1yNPwcg57Ubq7,659218,https://genius.com/artists/Haristone,
Elh Kmer,6DTpmzMa0Gz93kRKUo4JfQ,607146,https://genius.com/artists/Elh-kmer,pop urbaine
Zoxea,2uuaoYjn1Pk0Y3NOyMR0KR,11623,https://genius.com/artists/Zoxea,
AM La Scampia,0WzzOQ8n065ISKclSusFzY,1165897,https://genius.com/artists/Am-la-scampia,"moroccan rap,pop urbaine"
Mehdi Yz,2BEMYnNYVY6FScCvRaw1J6,1111977,https://genius.com/artists/Mehdi-yz,
Ärsenik,3Mo6O9iqKSw3Mn6v5zZfEy,13280,https://genius.com/artists/Arsenik-fra,
Tunisiano,6jMwNySNrAokQ3Gv8opEP7,2248,https://genius.com/artists/Tunisiano,raï
100 Blaze,0JxUh8qDlG3xflSV9Of500,544293,https://genius.com/artists/100-blaze,
Dabs,0VF7XcB73fBSIfX9hOTVij,674763,https://genius.com/artists/Dabs,pop urbaine
Lino,6RM5eA0SSP7B8UV3qHbLa8,1946,https://genius.com/artists/Lino,
MRC,4m90Zo0X5ACTTk27IZ9eMY,49114,https://genius.com/artists/Mrc,turkish pop
Fabe,5Jh4UFOCWwleD3kcd88xyh,1496514,https://genius.com/artists/Powfu,
Swing,0OQMxt6l70FM2YlLwYDiEn,1801970,https://genius.com/artists/Pop-smoke,
Nakry,1uS3NoifQsUXbWBOF3xIPg,1908271,https://genius.com/artists/Nakry,
L'Skadrille,12fU2Tyt3TEQn0bjNS0kzC,16333,https://genius.com/artists/Lskadrille,
Mafia K'1 Fry,1cRhxmFvL3Ef4vx4jSCy04,11464,https://genius.com/artists/Mafia-k1-fry,
Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,1050615,https://genius.com/artists/Key-largo,
Kacem Wapalek,6J434ZmyHxFcBjHXAZL9QY,19118,https://genius.com/artists/Kacem-wapalek,
Sat,3c8I79WjXzJzWacsiZlAxT,572149,https://genius.com/artists/Original-broadway-cast-of-hamilton,
Frenetik,71XOKoFKWFjlV91e2Z5r21,1282878,https://genius.com/artists/Frenetik-orang3,
Dehmo,5oM4ylX9mgzyzDD6yYPUal,640749,https://genius.com/artists/Dehmo,pop urbaine
Sheldon,6162ZDzd0LT28Lxdj52jjK,997209,https://genius.com/artists/Complete,
nelick,2W2NUrosOnwAI1hZIVbwit,115707,https://genius.com/artists/Nelick,moroccan rap
Pit Baccardi,5Gf71JW8QjF77ELQ94JX38,30976,https://genius.com/artists/Neg-marrons,
Q.E Favelas,16vfg5F2MKku9FMIrFIqry,977594,https://genius.com/artists/Qe-favelas,
Shotas,626MEj1uIFt7eZMSroO01a,1414976,https://genius.com/artists/Shotas,
Di-Meh,1QHLcqY9m9aoKWcjBiQV0y,60891,https://genius.com/artists/Di-meh,
L'Hexaler,1BNyS6oGYDwAzgl8PDDMXq,35370,https://genius.com/artists/Lhexaler,
Slimka,3JudvZnY94AkCzfAVXzawN,60891,https://genius.com/artists/Di-meh,
