_id,artists_genius_id[0],artists_genius_id[1],artists_genius_id[2],artists_genius_id[3],artists_genius_id[4],artists_genius_id[5],artists_genius_id[6],artists_genius_id[7],artists_genius_id[8],artists_genius_id[9],artists_genius_id[10],artists_genius_id[11],artists_genius_id[12],artists_genius_id[13],artists_genius_id[14],artists_genius_id[15],artists_genius_id[16],artists_genius_id[17],artists_genius_id[18],artists_genius_id[19],artists_genius_id[20],artists_genius_id[21],artists_genius_id[22],artists_id[0],artists_id[1],artists_id[2],artists_id[3],artists_id[4],artists_id[5],artists_id[6],artists_id[7],artists_id[8],artists_id[9],artists_id[10],artists_id[11],artists_id[12],artists_id[13],artists_id[14],artists_id[15],artists_id[16],artists_id[17],artists_id[18],artists_id[19],artists_id[20],artists_id[21],artists_id[22],artists_names[0],artists_names[1],artists_names[2],artists_names[3],artists_names[4],artists_names[5],artists_names[6],artists_names[7],artists_names[8],artists_names[9],artists_names[10],artists_names[11],artists_names[12],artists_names[13],artists_names[14],artists_names[15],artists_names[16],artists_names[17],artists_names[18],artists_names[19],artists_names[20],artists_names[21],artists_names[22],title
8068181,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,Faut s’tailler
7321217,1480619,146430,984017,16833,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edc4,6830d495a91d5a7989f1ee41,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ee6e,,,,,,,,,,,,,,,,,,,,Gambino La MG,Aladin 135,Naps,Aketo,,,,,,,,,,,,,,,,,,,,On se connaît
6010840,1552972,984017,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edfb,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,Sifax,Naps,,,,,,,,,,,,,,,,,,,,,,Kalala
5029406,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,Ça fait longtime
10490773,984017,1852283,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ed88,,,,,,,,,,,,,,,,,,,,,,Naps,TK,,,,,,,,,,,,,,,,,,,,,,T’AS FAIT LE CON
5302098,984017,1165897,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ee07,,,,,,,,,,,,,,,,,,,,,,Naps,AM La Scampia,,,,,,,,,,,,,,,,,,,,,,Enfant du block
4243013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gorillas
6804794,984017,314635,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1edc5,,,,,,,,,,,,,,,,,,,,,,Naps,Bosh,,,,,,,,,,,,,,,,,,,,,,Vamos
7185873,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,Je suis cramé
8705099,566498,984017,996826,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed90,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1edb4,,,,,,,,,,,,,,,,,,,,,Kofs,Naps,YL,,,,,,,,,,,,,,,,,,,,,AirBel Gang
8466499,80732,12085,984017,963309,1946,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ee24,6830d495a91d5a7989f1ed7e,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ed74,6830d495a91d5a7989f1ee0e,,,,,,,,,,,,,,,,,,,Le 3Ã¨me Oeil,Sofiane,Naps,Timal,Lino,,,,,,,,,,,,,,,,,,,Hymne à la racaille 2.0
10490771,984017,1242021,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,6830d495a91d5a7989f1ed70,,,,,,,,,,,,,,,,,,,,,,Naps,Heuss L'enfoirÃ©,,,,,,,,,,,,,,,,,,,,,,CDG
9387050,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,V8
8068185,984017,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed62,,,,,,,,,,,,,,,,,,,,,,,Naps,,,,,,,,,,,,,,,,,,,,,,,4 anneaux gris
